timestamp_utc,elapsed_s,armed,flight_mode,lat_deg,lon_deg,alt_agl_m,alt_amsl_m,vx_ms,vy_ms,vz_ms,roll_deg,pitch_deg,yaw_deg,groundspeed_ms,airspeed_ms,heading_deg,throttle_pct,battery_v,battery_a,battery_pct,gps_fix_type,satellites_visible,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,last_status_text
2026-07-09T13:56:02.384Z,0.582,False,UNKNOWN,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:02.886Z,1.084,False,STABILIZE,0.0000000,0.0000000,-0.47,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:03.386Z,1.584,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:03.889Z,2.087,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.18,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:04.389Z,2.587,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.18,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:04.894Z,3.092,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.18,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:05.486Z,3.684,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.18,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:05.987Z,4.185,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.31,84.31,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:06.490Z,4.688,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,
2026-07-09T13:56:06.991Z,5.189,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.17,1.32,84.31,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:07.492Z,5.690,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.32,84.31,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:07.993Z,6.191,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.32,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:08.586Z,6.783,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.17,1.32,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:09.086Z,7.284,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.17,1.32,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:09.587Z,7.785,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.32,84.31,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:10.088Z,8.286,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:10.588Z,8.786,False,STABILIZE,0.0000000,0.0000000,-0.47,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:11.088Z,9.286,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:11.589Z,9.786,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.17,1.31,84.32,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:12.091Z,10.289,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.17,1.31,84.33,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:12.593Z,10.791,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.31,84.33,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:13.094Z,11.291,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.18,1.31,84.33,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:13.596Z,11.792,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.30,84.33,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:14.184Z,12.382,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:14.684Z,12.882,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:15.184Z,13.382,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:15.685Z,13.883,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:16.186Z,14.384,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:16.686Z,14.884,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:17.194Z,15.392,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.18,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:17.694Z,15.892,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:18.197Z,16.395,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.17,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:18.791Z,16.989,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:19.292Z,17.490,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:19.794Z,17.992,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
